cod,name,votes,candidate1,candidate2,candidate3,c,t,j,c1v,c2v,c3v,c1p,c2p,c3p
38001,Adams,1206,t,c,j,2,1,3,904,216,65,74.96,17.91,5.39
38003,Barnes,5253,t,c,j,2,1,3,3156,1597,406,60.08,30.40,7.73
38005,Benson,1940,t,c,j,2,1,3,927,842,112,47.78,43.40,5.77
38007,Billings,592,t,c,j,2,1,3,492,58,31,83.11,9.80,5.24
38009,Bottineau,3437,t,c,j,2,1,3,2482,734,177,72.21,21.36,5.15
38011,Bowman,1769,t,c,j,2,1,3,1445,227,78,81.68,12.83,4.41
38013,Burke,1031,t,c,j,2,1,3,879,118,26,85.26,11.45,2.52
38015,Burleigh,46874,t,c,j,2,1,3,32499,10865,2719,69.33,23.18,5.80
38017,Cass,78807,t,c,j,2,1,3,39738,31291,6077,50.42,39.71,7.71
38019,Cavalier,1969,t,c,j,2,1,3,1356,476,110,68.87,24.17,5.59
38021,Dickey,2372,t,c,j,2,1,3,1656,551,122,69.81,23.23,5.14
38023,Divide,1187,t,c,j,2,1,3,860,243,70,72.45,20.47,5.90
38025,Dunn,2199,t,c,j,2,1,3,1753,356,60,79.72,16.19,2.73
38027,Eddy,1219,t,c,j,2,1,3,790,354,53,64.81,29.04,4.35
38029,Emmons,1959,t,c,j,2,1,3,1672,215,52,85.35,10.97,2.65
38031,Foster,1699,t,c,j,2,1,3,1237,346,96,72.81,20.36,5.65
38033,Golden Valley,942,t,c,j,2,1,3,793,99,40,84.18,10.51,4.25
38035,Grand Forks,29711,t,c,j,2,1,3,16325,10828,2002,54.95,36.44,6.74
38037,Grant,1361,t,c,j,2,1,3,1098,187,63,80.68,13.74,4.63
38039,Griggs,1247,t,c,j,2,1,3,847,298,93,67.92,23.90,7.46
38041,Hettinger,1261,t,c,j,2,1,3,1032,168,46,81.84,13.32,3.65
38043,Kidder,1358,t,c,j,2,1,3,1106,179,63,81.44,13.18,4.64
38045,LaMoure,2115,t,c,j,2,1,3,1475,500,107,69.74,23.64,5.06
38047,Logan,1030,t,c,j,2,1,3,867,112,38,84.17,10.87,3.69
38049,McHenry,2687,t,c,j,2,1,3,1991,474,182,74.10,17.64,6.77
38051,McIntosh,1423,t,c,j,2,1,3,1095,233,71,76.95,16.37,4.99
38053,McKenzie,4594,t,c,j,2,1,3,3661,696,171,79.69,15.15,3.72
38055,McLean,5206,t,c,j,2,1,3,3827,1070,249,73.51,20.55,4.78
38057,Mercer,4564,t,c,j,2,1,3,3715,616,188,81.40,13.50,4.12
38059,Morton,15547,t,c,j,2,1,3,11319,3077,912,72.81,19.79,5.87
38061,Mountrail,4009,t,c,j,2,1,3,2551,1211,163,63.63,30.21,4.07
38063,Nelson,1694,t,c,j,2,1,3,1025,536,113,60.51,31.64,6.67
38065,Oliver,1002,t,c,j,2,1,3,827,119,46,82.53,11.88,4.59
38067,Pembina,3093,t,c,j,2,1,3,2204,681,167,71.26,22.02,5.40
38069,Pierce,2020,t,c,j,2,1,3,1433,431,132,70.94,21.34,6.53
38071,Ramsey,5218,t,c,j,2,1,3,3216,1505,405,61.63,28.84,7.76
38073,Ransom,2317,t,c,j,2,1,3,1209,836,245,52.18,36.08,10.57
38075,Renville,1255,t,c,j,2,1,3,978,200,68,77.93,15.94,5.42
38077,Richland,7460,t,c,j,2,1,3,4759,2064,492,63.79,27.67,6.60
38079,Rolette,3662,c,t,j,1,2,3,2097,1210,155,57.26,33.04,4.23
38081,Sargent,1978,t,c,j,2,1,3,1088,693,166,55.01,35.04,8.39
38083,Sheridan,774,t,c,j,2,1,3,644,94,29,83.20,12.14,3.75
38085,Sioux,1177,c,t,j,1,2,3,758,256,25,64.40,21.75,2.12
38087,Slope,427,t,c,j,2,1,3,361,42,19,84.54,9.84,4.45
38089,Stark,12115,t,c,j,2,1,3,9718,1745,522,80.21,14.40,4.31
38091,Steele,984,t,c,j,2,1,3,537,361,73,54.57,36.69,7.42
38093,Stutsman,9938,t,c,j,2,1,3,6706,2484,571,67.48,24.99,5.75
38095,Towner,1137,t,c,j,2,1,3,733,305,89,64.47,26.82,7.83
38097,Traill,3864,t,c,j,2,1,3,2263,1239,289,58.57,32.07,7.48
38099,Walsh,4543,t,c,j,2,1,3,2991,1166,330,65.84,25.67,7.26
